## 1
## 반면 한국을 이긴 일본은 2승1패를 기록했다 .
## 반면 <한국:ORG>을 이긴 <일본:ORG>은 <2승:NOH><1패:NOH>를 기록했다 .
반면	반면	NNG	O
로코	로코	NNP	B-PER
_	_	_	I-PER
미디	미디	NNG	I-PER
에이트	에이트	NNG	I-PER
(	(	SS	O
미국	미국	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
단독	단독	NNG	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
(	(	SS	O
1	1	SN	B-NOH
언더파	언더파	NNG	I-NOH
_	_	_	O
212	212	SN	B-NOH
타	타	NNG	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
'	'	SS	O
US	US	SL	B-POH
오픈	오픈	NNG	I-POH
_	_	_	O
챔프	챔프	NNG	O
'	'	SS	O
_	_	_	O
제프	제프	NNP	B-PER
_	_	_	I-PER
오길비	오길비	NNP	I-PER
(	(	SS	O
호주	호주	NNP	B-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
D	D	SL	B-PER
.	.	SF	I-PER
J	J	SL	I-PER
.	.	SF	I-PER
_	_	_	I-PER
트	트	VV	I-PER
라	아	EC	I-PER
한	하+ㄴ	VV+ETM	I-PER
(	(	SS	O
미국	미국	NNP	B-LOC
)	)	SS	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
4	4	SN	B-NOH
위	위	NNB	I-NOH
(	(	SS	O
1	1	SN	B-NOH
오버파	오버파	NNG	I-NOH
_	_	_	O
214	214	SN	B-NOH
타	타	NNG	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 205
## 이로써 한국은 러시아 이탈리아 쿠바 등 강호와 한 조에 편성된 이번 월드리그에서 2연패를 당했다 .
## 이로써 <한국:ORG>은 <러시아:ORG> <이탈리아:ORG> <쿠바:ORG> 등 강호와 <한 조:NOH>에 편성된 이번 월드리그에서 <2연패:NOH>를 당했다 .
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
러시아	러시아	NNP	B-ORG
_	_	_	O
이탈리아	이탈리아	NNP	B-ORG
_	_	_	O
쿠바	쿠바	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
강호	강호	NNG	O
와	와	JC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
조	조	NNG	I-NOH
에	에	JKB	O
_	_	_	O
편성된	편성되+ㄴ	VV+ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
월드	월드	NNG	O
리그	리그	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
연패	연패	NNG	I-NOH
를	를	JKO	O
_	_	_	O
당	당하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 206
## 장광균(대한항공)도 블로킹 2득점 등 9득점을 올렸다 .
## <장광균:PER>(<대한항공:ORG>)도 블로킹 <2득점:NOH> 등 <9득점:NOH>을 올렸다 .
장광균	장광균	NNP	B-PER
(	(	SS	O
대한항공	대한항공	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
블로킹	블로킹	NNG	O
_	_	_	O
2	2	SN	B-NOH
득점	득점	NNG	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
9	9	SN	B-NOH
득점	득점	NNG	I-NOH
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 207
## 한편, 한국은 오는 21일 오후 2시부터 세계 최정상의 팀인 이탈리아와 월드리그 3차전을 가질 예정이다 .
## 한편, <한국:ORG>은 오는 <21일:DAT> <오후 2시:TIM>부터 세계 최정상의 팀인 <이탈리아:ORG>와 월드리그 <3차:NOH>전을 가질 예정이다 .
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
2	2	SN	I-TIM
시	시	NNB	I-TIM
부터	부터	JX	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최	최	XPN	O
정상	정상	NNG	O
의	의	JKG	O
_	_	_	O
팀	팀	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이탈리아	이탈리아	NNP	B-ORG
와	와	JC	O
_	_	_	O
월드	월드	NNG	O
리그	리그	NNG	O
_	_	_	O
3	3	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	O
을	을	JKO	O
_	_	_	O
가질	가지+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 208
## 올해 한국프로골프에 처음 데뷔한 허인회는 아마추어 시절 23승이나 거둔 기대주였으나 국가대표 시절 2006도하아시안게임 대표팀에 선발되지 못해 한동안 방황을 하기도 했다 .
## 올해 <한국:ORG>프로골프에 처음 데뷔한 <허인회:PER>는 아마추어 시절 <23승:NOH>이나 거둔 기대주였으나 국가대표 시절 <2006:DAT><도하아시안게임:POH> 대표팀에 선발되지 못해 한동안 방황을 하기도 했다 .
올해	올해	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
프로	프로	NNG	O
골프	골프	NNG	O
에	에	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
데뷔한	데뷔하+ㄴ	VV+ETM	O
_	_	_	O
허인회	허인회	NNP	B-PER
는	는	JX	O
_	_	_	O
아마추어	아마추어	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
23	23	SN	B-NOH
승	승	NNG	I-NOH
이나	이나	JX	O
_	_	_	O
거둔	거두+ㄴ	VV+ETM	O
_	_	_	O
기대주	기대주+이	NNG+VCP	O
였	었	EP	O
으나	으나	EC	O
_	_	_	O
국가	국가	NNG	O
대표	대표	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
2006	2006	SN	B-DAT
도하	도하	NNG	B-POH
아시안	아시안	NNG	I-POH
게임	게임	NNG	I-POH
_	_	_	O
대표	대표	NNG	O
팀	팀	NNG	O
에	에	JKB	O
_	_	_	O
선발되	선발되	VV	O
지	지	EC	O
_	_	_	O
못해	못하+여	VX+EC	O
_	_	_	O
한동안	한동안	NNG	O
_	_	_	O
방황	방황	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 209
## 그 사이 5명이 순위표 상단을 차지하며 치열한 선두 다툼을 벌였으나 허인회는 17번홀(파5)에서 천금 같은 버디를 추가하며 균형을 깼다 .
## 그 사이 <5명:NOH>이 순위표 상단을 차지하며 치열한 선두 다툼을 벌였으나 <허인회:PER>는 <17번:NOH>홀(<파5:NOH>)에서 천금 같은 버디를 추가하며 균형을 깼다 .
그	그	MM	O
_	_	_	O
사이	사이	NNG	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
순위	순위	NNG	O
표	표	NNG	O
_	_	_	O
상단	상단	NNG	O
을	을	JKO	O
_	_	_	O
차지하	차지하	VV	O
며	며	EC	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
선두	선두	NNG	O
_	_	_	O
다툼	다툼	NNG	O
을	을	JKO	O
_	_	_	O
벌	벌이	VV	O
였	었	EP	O
으나	으나	EC	O
_	_	_	O
허인회	허인회	NNP	B-PER
는	는	JX	O
_	_	_	O
17	17	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	O
(	(	SS	O
파	파	NNG	B-NOH
5	5	SN	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
천금	천금	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
버디	버디	NNG	O
를	를	JKO	O
_	_	_	O
추가하	추가하	VV	O
며	며	EC	O
_	_	_	O
균형	균형	NNG	O
을	을	JKO	O
_	_	_	O
깼	깨+었	VV+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 210
## '국내 지존' 신지애(20 ㆍ 하이마트)가 연장 접전 끝에 시즌 4승째를 달성했다 .
## '국내 지존' <신지애:PER>(<20:NOH> ㆍ <하이마트:ORG>)가 연장 접전 끝에 시즌 <4승:NOH>째를 달성했다 .
'	'	SS	O
국내	국내	NNG	O
_	_	_	O
지존	지존	NNG	O
'	'	SS	O
_	_	_	O
신지애	신지애	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
하이마트	하이마트	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
연장	연장	NNG	O
_	_	_	O
접전	접전	NNG	O
_	_	_	O
끝	끝	NNG	O
에	에	JKB	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
4	4	SN	B-NOH
승	승	NNB	I-NOH
째	째	XSN	O
를	를	JKO	O
_	_	_	O
달성	달성하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 211
## 신지애의 우승여정은 그러나 쉽지 않았다 .
## <신지애:PER>의 우승여정은 그러나 쉽지 않았다 .
신지애	신지애	NNP	B-PER
의	의	JKG	O
_	_	_	O
우승	우승	NNG	O
여정	여정	NNG	O
은	은	JX	O
_	_	_	O
그러나	그러나	MAJ	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 212
## '美의 전쟁' 승자는 안나 로손(호주)이었다 .
## '美의 전쟁' 승자는 <안나 로손:PER>(<호주:ORG>)이었다 .
'	'	SS	O
美	美	SH	O
의	의	JKG	O
_	_	_	O
전쟁	전쟁	NNG	O
'	'	SS	O
_	_	_	O
승자	승자	NNG	O
는	는	JX	O
_	_	_	O
안나	안나	NNP	B-PER
_	_	_	I-PER
로손	로손	NNP	I-PER
(	(	SS	O
호주	호주	NNP	B-ORG
)	)	SS	O
이	이	VCP	O
었	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 213
## 한국은 올림픽 예선 좌절에 이어 안방에서 열리는 월드리그 첫 판부터 세계 2위 러시아와 맞붙어 출발부터 전망은 밝지 않았다 .
## <한국:ORG>은 올림픽 예선 좌절에 이어 안방에서 열리는 월드리그 첫 판부터 세계 <2위:NOH> <러시아:ORG>와 맞붙어 출발부터 전망은 밝지 않았다 .
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
예선	예선	NNG	O
_	_	_	O
좌절	좌절	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
안방	안방	NNG	O
에서	에서	JKB	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
월드	월드	NNG	O
리그	리그	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
판	판	NNB	O
부터	부터	JX	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
러시아	러시아	NNP	B-ORG
와	와	JKB	O
_	_	_	O
맞붙	맞붙	VV	O
어	어	EC	O
_	_	_	O
출발	출발	NNG	O
부터	부터	JX	O
_	_	_	O
전망	전망	NNG	O
은	은	JX	O
_	_	_	O
밝	밝	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 214
## 신지애(20 · 하이마트)가 제2회 BC카드클래식(총상금 4억원)에서 연장 접전 끝에 승리하며 타이틀 방어에 성공했다 .
## <신지애:PER>(<20:NOH> · <하이마트:ORG>)가 <제2회:NOH> <BC카드클래식:POH>(총상금 <4억원:MNY>)에서 연장 접전 끝에 승리하며 타이틀 방어에 성공했다 .
신지애	신지애	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
_	_	_	O
·	·	SP	O
_	_	_	O
하이마트	하이마트	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
BC	BC	SL	B-POH
카드	카드	NNG	I-POH
클래식	클래식	NNG	I-POH
(	(	SS	O
총	총	XPN	O
상금	상금	NNG	O
_	_	_	O
4	4	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
연장	연장	NNG	O
_	_	_	O
접전	접전	NNG	O
_	_	_	O
끝	끝	NNG	O
에	에	JKB	O
_	_	_	O
승리하	승리하	VV	O
며	며	EC	O
_	_	_	O
타이틀	타이틀	NNG	O
_	_	_	O
방어	방어	NNG	O
에	에	JKB	O
_	_	_	O
성공	성공하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 215
## 반면 김민선은 그린 미스 후 어프로치샷 마저 길어 홀 6m 지점에 멈추는 바람에 보기를 기록했다 .
## 반면 <김민선:PER>은 그린 미스 후 어프로치샷 마저 길어 홀 <6m:NOH> 지점에 멈추는 바람에 보기를 기록했다 .
반면	반면	NNG	O
_	_	_	O
김민선	김민선	NNP	B-PER
은	은	JX	O
_	_	_	O
그린	그리+ㄴ	VV+ETM	O
_	_	_	O
미스	미스	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
어프로치	어프로치	NNG	O
샷	샷	NNG	O
_	_	_	O
마저	마저	MAG	O
_	_	_	O
길	길	VA	O
어	어	EC	O
_	_	_	O
홀	홀	NNG	O
_	_	_	O
6	6	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
지점	지점	NNG	O
에	에	JKB	O
_	_	_	O
멈추	멈추	VV	O
는	는	ETM	O
_	_	_	O
바람	바람	NNG	O
에	에	JKB	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 216
## 서경오픈, 신지애 vs 나머지 선수들 격돌
## <서경오픈:POH>, <신지애:PER> vs 나머지 선수들 격돌
서경	서경	NNP	B-POH
오픈	오픈	NNG	I-POH
,	,	SP	O
_	_	_	O
신지애	신지애	NNP	B-PER
_	_	_	O
vs	vs	SL	O
_	_	_	O
나머지	나머지	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
_	_	_	O
격돌	격돌	NNG	O

## 217
## 우즈는 17번홀(파4)에서는 그린 옆 러프에서 날린 칩샷이 홀로 빨려 들어가 행운의 버디를 낚았고 마지막 18번홀(파5)에서는 다시 2온 후 9m 거리의 'ㄴ'자 형태 이글퍼트를 성공시켰다 ．
## <우즈:PER>는 <17번:NOH>홀(<파4:NOH>)에서는 그린 옆 러프에서 날린 칩샷이 홀로 빨려 들어가 행운의 버디를 낚았고 마지막 <18번:NOH>홀(<파5:NOH>)에서는 다시 <2온:NOH> 후 <9m:NOH> 거리의 'ㄴ'자 형태 이글퍼트를 성공시켰다 ．
우즈	우즈	NNP	B-PER
는	는	JX	O
_	_	_	O
17	17	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	O
(	(	SS	O
파	파	NNG	B-NOH
4	4	SN	I-NOH
)	)	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
그린	그린	NNG	O
_	_	_	O
옆	옆	NNG	O
_	_	_	O
러프	러프	NNG	O
에서	에서	JKB	O
_	_	_	O
날린	날리+ㄴ	VV+ETM	O
_	_	_	O
칩	칩	NNG	O
샷	샷	NNG	O
이	이	JKS	O
_	_	_	O
홀로	홀로	MAG	O
_	_	_	O
빨려	빨리+어	VV+EC	O
_	_	_	O
들어가	들어가+아	VV+EC	O
_	_	_	O
행운	행운	NNG	O
의	의	JKG	O
_	_	_	O
버디	버디	NNG	O
를	를	JKO	O
_	_	_	O
낚	낚	VV	O
았	았	EP	O
고	고	JKQ	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
18	18	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	O
(	(	SS	O
파	파	NNG	B-NOH
5	5	SN	I-NOH
)	)	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
2	2	SN	B-NOH
온	온	NNG	I-NOH
_	_	_	O
후	후	NNG	O
_	_	_	O
9	9	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
거리	거리	NNG	O
의	의	JKG	O
_	_	_	O
'	'	SS	O
ㄴ	ㄴ	NNG	O
'	'	SS	O
자	자	NNG	O
_	_	_	O
형태	형태	NNG	O
_	_	_	O
이글	이글	NNG	O
퍼트	퍼트	NNG	O
를	를	JKO	O
_	_	_	O
성공	성공	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 218
## 한편 앤서니 김(23 · 나이키골프)은 1언더파 70타로 선전해 합계 6오버파 219타로 공동 24위를 기록했다 ．
## 한편 <앤서니 김:PER>(<23:NOH> · <나이키골프:ORG>)은 <1언더파:NOH> <70타:NOH>로 선전해 합계 <6오버파:NOH> <219타:NOH>로 공동 <24위:NOH>를 기록했다 ．
한편	한편	MAG	O
_	_	_	O
앤서니	앤서니	NNP	B-PER
_	_	_	I-PER
김	김	NNP	I-PER
(	(	SS	O
23	23	SN	B-NOH
_	_	_	O
·	·	SP	O
_	_	_	O
나이키골프	나이키골프	NNP	B-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
언더파	언더파	NNG	I-NOH
_	_	_	O
70	70	SN	B-NOH
타	타	NNG	I-NOH
로	로	JKB	O
_	_	_	O
선전해	선전하+여	VV+EC	O
_	_	_	O
합계	합계	NNG	O
_	_	_	O
6	6	SN	B-NOH
오버파	오버파	NNG	I-NOH
_	_	_	O
219	219	SN	B-NOH
타	타	NNG	I-NOH
로	로	JKB	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
24	24	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 219
## 고성군 선발팀은 마지막 날 유연경과 정정옥(여 · 55)이 159타를 더하며 최종 316타를 기록, 355타를 합작한 횡성군 선발팀을 39타 차이로 제치고 여자일반 2부 단체전 우승을 차지했다 .
## <고성군:LOC> 선발팀은 마지막 날 <유연경:PER>과 <정정옥:PER>(여 · <55:NOH>)이 <159타:NOH>를 더하며 최종 <316타:NOH>를 기록, <355타:NOH>를 합작한 <횡성군:LOC> 선발팀을 <39타:NOH> 차이로 제치고 여자일반 <2부:NOH> 단체전 우승을 차지했다 .
고성군	고성군	NNP	B-LOC
_	_	_	O
선발팀	선발팀	NNG	O
은	은	JX	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
날	날	NNG	O
_	_	_	O
유연경	유연경	NNP	B-PER
과	과	JC	O
_	_	_	O
정정옥	정정옥	NNP	B-PER
(	(	SS	O
여	여	NNG	O
_	_	_	O
·	·	SP	O
_	_	_	O
55	55	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
159	159	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
더하	더하	VV	O
며	며	EC	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
316	316	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
기록	기록	NNG	O
,	,	SP	O
_	_	_	O
355	355	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
합작한	합작하+ㄴ	VV+ETM	O
_	_	_	O
횡성군	횡성군	NNP	B-LOC
_	_	_	O
선발팀	선발팀	NNG	O
을	을	JKO	O
_	_	_	O
39	39	SN	B-NOH
타	타	NNG	I-NOH
_	_	_	O
차이	차이	NNG	O
로	로	JKB	O
_	_	_	O
제치	제치	VV	O
고	고	EC	O
_	_	_	O
여자	여자	NNG	O
일반	일반	NNG	O
_	_	_	O
2	2	SN	B-NOH
부	부	NNB	I-NOH
_	_	_	O
단체전	단체전	NNG	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 220
## 신지애는 15일 제주 테디밸리 골프장(파72 6353야드)에서 열린 대회 최종일 강한 바람이 부는 날씨에 고전하며 타수를 줄이지 못했지만 조미현(28 ADT캡스), 김민선(21 김영주골프), 김현지(20LIG)와 벌인 연장전에서 우승컵을 들어 올렸다 .
## <신지애:PER>는 <15일:DAT> <제주:LOC> <테디밸리 골프장:LOC>(<파72:NOH> <6353야드:NOH>)에서 열린 대회 최종일 강한 바람이 부는 날씨에 고전하며 타수를 줄이지 못했지만 <조미현:PER>(<28:NOH> <ADT캡스:ORG>), <김민선:PER>(<21:NOH> <김영주골프:ORG>), <김현지:PER>(<20:NOH><LIG:ORG>)와 벌인 연장전에서 우승컵을 들어 올렸다 .
신지애	신지애	NNP	B-PER
는	는	JX	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
제주	제주	NNP	B-LOC
_	_	_	O
테디	테디	NNP	B-LOC
밸리	밸리	NNG	I-LOC
_	_	_	I-LOC
골프장	골프장	NNG	I-LOC
(	(	SS	O
파	파	NNG	B-NOH
72	72	SN	I-NOH
_	_	_	O
6353	6353	SN	B-NOH
야드	야드	NNB	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
최종일	최종일	NNG	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
바람	바람	NNG	O
이	이	JKS	O
_	_	_	O
부	불	VV	O
는	는	ETM	O
_	_	_	O
날씨	날씨	NNG	O
에	에	JKB	O
_	_	_	O
고전하	고전하	VV	O
며	며	EC	O
_	_	_	O
타수	타수	NNG	O
를	를	JKO	O
_	_	_	O
줄이	줄이	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
조미현	조미현	NNP	B-PER
(	(	SS	O
28	28	SN	B-NOH
_	_	_	O
ADT	ADT	SL	B-ORG
캡스	캡스	NNP	I-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
김민선	김민선	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
_	_	_	O
김영주	김영주	NNP	B-ORG
골프	골프	NNG	I-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
김현지	김현지	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
LIG	LIG	SL	B-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
벌인	벌이+ㄴ	VV+ETM	O
_	_	_	O
연장전	연장전	NNG	O
에서	에서	JKB	O
_	_	_	O
우승컵	우승컵	NNG	O
을	을	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 221
## 6타차 공동 3위에서 출발한 신지애는 맹추격을 시작해 14번홀(파4)에서 더블보기를 한 조미현을 제치고 선두를 꿰찼지만 17번홀(파5)에서 1m도 안되는 파 퍼트를 놓치는 바람에 동타를 허용해 힘겨운 승부를 벌여야 했다 .
## <6타:NOH>차 공동 <3위:NOH>에서 출발한 <신지애:PER>는 맹추격을 시작해 <14번:NOH>홀(<파4:NOH>)에서 더블보기를 한 <조미현:PER>을 제치고 선두를 꿰찼지만 <17번:NOH>홀(<파5:NOH>)에서 <1m:NOH>도 안되는 파 퍼트를 놓치는 바람에 동타를 허용해 힘겨운 승부를 벌여야 했다 .
6	6	SN	B-NOH
타	타	NNG	I-NOH
차	차	NNG	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
출발한	출발하+ㄴ	VV+ETM	O
_	_	_	O
신지애	신지애	NNP	B-PER
는	는	JX	O
_	_	_	O
맹추격	맹추격	NNG	O
을	을	JKO	O
_	_	_	O
시작해	시작하+여	VV+EC	O
_	_	_	O
14	14	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	O
(	(	SS	O
파	파	NNG	B-NOH
4	4	SN	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
더블	더블	NNG	O
보기	보기	NNG	O
를	를	JKO	O
_	_	_	O
한	한	NNP	O
_	_	_	O
조미현	조미현	NNP	B-PER
을	을	JKO	O
_	_	_	O
제치	제치	VV	O
고	고	EC	O
_	_	_	O
선두	선두	NNG	O
를	를	JKO	O
_	_	_	O
꿰찼	꿰차+았	VV+EP	O
지만	지만	EC	O
_	_	_	O
17	17	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	O
(	(	SS	O
파	파	NNG	B-NOH
5	5	SN	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
m	m	SL	I-NOH
도	도	JX	O
_	_	_	O
안되	안되	VV	O
는	는	ETM	O
_	_	_	O
파	파	NNG	O
_	_	_	O
퍼트	퍼트	NNG	O
를	를	JKO	O
_	_	_	O
놓치	놓치	VV	O
는	는	ETM	O
_	_	_	O
바람	바람	NNB	O
에	에	JKB	O
_	_	_	O
동타	동타	NNG	O
를	를	JKO	O
_	_	_	O
허용해	허용하+여	VV+EC	O
_	_	_	O
힘겨	힘겹	VA	O
운	ㄴ	ETM	O
_	_	_	O
승부	승부	NNG	O
를	를	JKO	O
_	_	_	O
벌	벌이	VV	O
여야	어야	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 222
## "목표는 신인왕" '새내기' 허인회(21 ㆍ 사진)가 SBS코리언투어 필로스오픈(총상금 3억원)에서 생애 첫 우승을 일궈내며 '20대 챔프군단'에 합류했다 .
## "목표는 신인왕" '새내기' <허인회:PER>(<21:NOH> ㆍ 사진)가 <SBS코리언투어 필로스오픈:POH>(총상금 <3억원:MNY>)에서 생애 첫 우승을 일궈내며 '<20대:NOH> 챔프군단'에 합류했다 .
"	"	SS	O
목표	목표	NNG	O
는	는	JX	O
_	_	_	O
신인왕	신인왕	NNG	O
"	"	SS	O
_	_	_	O
'	'	SS	O
새내기	새내기	NNG	O
'	'	SS	O
_	_	_	O
허인회	허인회	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
사진	사진	NNG	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
SBS	SBS	SL	B-POH
코리언	코리언	NNG	I-POH
투어	투어	NNG	I-POH
_	_	_	I-POH
필로스	필로스	NNG	I-POH
오픈	오픈	NNG	I-POH
(	(	SS	O
총	총	XPN	O
상금	상금	NNG	O
_	_	_	O
3	3	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
생애	생애	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
일궈	일구+어	VV+EC	O
내	내	VX	O
며	며	EC	O
_	_	_	O
'	'	SS	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
